epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.2538,0,120.143,0,0,0,0,0,0,127.853,0,0.00028339,0.00028339,0.00028339
2,143.948,0,97.2076,0,0,0,0,0,0,116.869,0,0.000564196,0.000564196,0.000564196
3,215.46,0,84.3562,0,0,0,0,0,0,79.7438,0,0.000825198,0.000825198,0.000825198
4,286.844,0,76.8246,0,0,0,0,0,0,65.8584,0,0.0010664,0.0010664,0.0010664
5,372.165,0,70.0386,0,0,0,0,0,0,65.4617,0,0.00128779,0.00128779,0.00128779
6,457.216,0,63.8711,0,0,0,0,0,0,64.3386,0,0.00139195,0.00139195,0.00139195
